IP	Port
106.52.115.145	7634
106.52.115.145	1200
106.52.115.145	9761
123.207.23.211	49153
123.207.23.211	1935
123.207.23.211	5269
123.207.23.211	3838
123.207.23.211	5010
123.207.23.211	9944
123.207.23.211	2211
123.207.23.211	5357
123.207.23.211	6666
123.207.23.211	2065
123.207.23.211	7998
123.207.23.211	23
123.207.23.211	88
123.207.23.211	8140
123.207.23.211	16992
221.182.245.85	4443
221.182.245.85	10443
221.182.144.37	2087
106.52.115.145	5984
106.52.115.145	4063
106.52.115.145	84
106.52.115.145	44818
106.52.115.145	1400
106.52.115.145	51106
106.52.115.145	8060
106.52.115.145	7657
106.52.115.145	7218
106.52.115.145	2233
106.52.115.145	9000
106.52.115.145	55442
106.52.115.145	1741
106.52.115.145	49152
106.52.115.145	1433
106.52.115.145	8018
221.182.247.65	8181
221.176.88.201	16993
42.194.226.30	8545
42.194.226.30	8090
42.194.226.30	8236
42.194.226.30	5609
42.194.226.30	8019
42.194.226.30	1515
42.194.226.30	9080
42.194.226.30	8412
42.194.226.30	2376
221.182.245.225	3790
106.75.71.81	1400
106.75.71.81	10443
106.75.71.81	55442
106.75.71.81	8410
106.75.71.81	3260
106.75.71.81	12345
106.75.71.81	447
106.75.71.81	3112
106.75.71.81	5007
221.182.144.17	3001
117.48.120.226	8333
117.48.120.226	1741
117.48.120.226	9097
117.48.120.226	3099
117.48.120.226	3562
117.48.120.226	37215
117.48.120.226	18245
117.48.120.226	3310
117.48.120.226	9096
117.48.120.226	9307
117.48.120.226	16992
117.48.120.226	631
117.48.120.226	9002
117.48.120.226	86
117.48.120.226	4444
117.48.120.226	4949
117.48.120.226	1723
45.43.62.235	3310
45.43.62.235	9000
45.43.62.235	4000
45.43.62.235	5901
42.194.230.121	4782
42.194.230.121	541
42.194.230.121	6666
42.194.230.121	15
42.194.230.121	449
42.194.230.121	2222
42.194.230.121	110
42.194.230.121	9015
42.194.230.121	2067
42.194.230.121	9093
42.194.230.121	8015
42.194.230.121	11
221.182.254.113	9002
221.176.82.65	8081
221.176.82.65	10443
101.36.105.97	1947
101.36.105.97	4848
106.75.76.83	5025
106.75.76.83	9009
106.75.76.83	789
106.75.76.83	195
106.75.76.83	6003
106.75.76.83	2063
106.75.76.83	131
221.182.254.17	10000
123.207.23.211	21
123.207.23.211	4840
123.207.23.211	3067
123.207.23.211	9088
123.207.23.211	8010
123.207.23.211	50100
123.207.23.211	102
123.207.23.211	5090
123.207.23.211	9001
123.207.23.211	4550
123.207.23.211	37777
123.207.23.211	7657
123.207.23.211	106
123.207.23.211	9206
221.182.245.85	2087
45.43.57.172	2626
45.43.57.172	5357
45.43.57.172	1080
106.52.115.145	1515
106.52.115.145	23023
106.52.115.145	9943
106.52.115.145	8237
106.52.115.145	4949
106.52.115.145	5560
106.52.115.145	9109
106.52.115.145	2232
106.52.115.145	2379
106.52.115.145	8334
106.52.115.145	7548
106.52.115.145	8083
221.182.136.133	8443
221.182.136.129	10443
42.194.226.30	9222
42.194.226.30	11
42.194.226.30	13579
42.194.226.30	8333
42.194.226.30	5050
42.194.226.30	3311
42.194.226.30	9090
42.194.226.30	9094
42.194.226.30	9295
42.194.226.30	5986
42.194.226.30	2002
42.194.226.30	4506
42.194.226.30	8123
42.194.226.30	80
42.194.226.30	8093
42.194.226.30	2332
42.194.226.30	60001
221.182.245.225	16993
106.75.71.81	8139
106.75.71.81	119
106.75.71.81	2480
106.75.71.81	9080
106.75.71.81	32764
106.75.71.81	5985
106.75.71.81	81
106.75.71.81	8637
106.75.71.81	444
106.75.71.81	55553
106.75.71.81	5567
106.75.71.81	5984
106.75.71.81	7547
117.48.120.226	10001
117.48.120.226	25
117.48.120.226	5432
117.48.120.226	8090
117.48.120.226	55553
117.48.120.226	51235
117.48.120.226	179
117.48.120.226	1023
117.48.120.226	5590
117.48.120.226	2081
117.48.120.226	3089
117.48.120.226	9189
117.48.120.226	4911
117.48.120.226	10250
117.48.120.226	9191
117.48.120.226	4786
117.48.120.226	8140
117.48.120.226	8880
45.43.62.235	8083
45.43.62.235	6697
45.43.62.235	9008
45.43.62.235	13579
45.43.62.235	4444
221.182.247.177	3001
42.194.230.121	8988
42.194.230.121	23424
42.194.230.121	8830
42.194.230.121	19
42.194.230.121	10001
42.194.230.121	3790
42.194.230.121	902
42.194.230.121	21379
42.194.230.121	9218
42.194.230.121	18245
221.176.82.65	9000
101.36.105.97	503
101.36.105.97	8875
101.36.105.97	8023
106.75.76.83	1471
106.75.76.83	8889
106.75.76.83	50050
106.75.76.83	8007
106.75.76.83	9105
123.207.23.211	5801
123.207.23.211	60001
123.207.23.211	8334
123.207.23.211	9044
123.207.23.211	80
123.207.23.211	2332
123.207.23.211	16010
123.207.23.211	33060
123.207.23.211	9943
111.230.206.141	12345
106.52.115.145	9527
106.52.115.145	2020
106.52.115.145	4567
106.52.115.145	2058
106.52.115.145	1080
106.52.115.145	4022
106.52.115.145	6605
106.52.115.145	2056
106.52.115.145	8182
42.194.226.30	2059
42.194.226.30	8844
42.194.226.30	12000
42.194.226.30	3460
42.194.226.30	8889
42.194.226.30	999
42.194.226.30	8873
42.194.226.30	6666
42.194.226.30	5172
221.182.245.225	10443
106.75.71.81	4064
106.75.71.81	587
106.75.71.81	8545
106.75.71.81	1344
106.75.71.81	1981
106.75.71.81	11300
106.75.71.81	7777
106.75.71.81	8800
106.75.71.81	8001
106.75.71.81	3121
106.75.71.81	143
117.48.120.226	3128
117.48.120.226	1311
117.48.120.226	9100
117.48.120.226	1433
117.48.120.226	8046
117.48.120.226	3409
117.48.120.226	4664
117.48.120.226	13579
117.48.120.226	9944
117.48.120.226	3542
117.48.120.226	3689
117.48.120.226	8334
117.48.120.226	636
45.43.62.235	225
45.43.62.235	902
45.43.62.235	465
45.43.62.235	4782
45.43.62.235	25105
45.43.62.235	8291
45.43.62.235	771
45.43.62.235	8086
45.43.62.235	2404
45.43.62.235	4369
45.43.62.235	1010
42.194.230.121	4523
42.194.230.121	5357
42.194.230.121	636
42.194.230.121	37777
42.194.230.121	88
42.194.230.121	9981
42.194.230.121	3689
42.194.230.121	8069
42.194.230.121	9310
42.194.230.121	21
42.194.230.121	8093
221.176.82.65	8181
101.36.105.97	2055
101.36.105.97	8333
101.36.105.97	993
106.75.76.83	2379
106.75.76.83	1599
106.75.76.83	9037
106.75.76.83	8833
106.75.76.83	6668
106.75.76.83	1723
106.75.76.83	1911
106.75.76.83	14147
106.75.76.83	5001
106.75.76.83	7443
106.75.76.83	8850
106.75.76.83	4282
106.75.76.83	522
106.75.76.83	3070
106.75.76.83	1962
106.75.76.83	102
221.182.254.113	443
123.207.23.211	502
123.207.23.211	9191
123.207.23.211	8001
123.207.23.211	44818
123.207.23.211	2095
123.207.23.211	943
221.182.245.85	8089
45.43.57.172	2762
45.43.57.172	8001
45.43.57.172	6605
45.43.57.172	9869
45.43.57.172	522
45.43.57.172	82
45.43.57.172	2086
221.176.82.81	8083
106.52.115.145	4117
106.52.115.145	8430
106.52.115.145	25565
106.52.115.145	11112
106.52.115.145	7547
106.52.115.145	3094
106.52.115.145	522
106.52.115.145	7777
123.207.23.211	2081
